Id,Id2,Geography,Retirement_Income
0500000US08107,8107,"Routt County, Colorado",1206
0500000US08109,8109,"Saguache County, Colorado",410
0500000US08111,8111,"San Juan County, Colorado",52
0500000US08113,8113,"San Miguel County, Colorado",269
0500000US08115,8115,"Sedgwick County, Colorado",205
0500000US08117,8117,"Summit County, Colorado",1210
0500000US08119,8119,"Teller County, Colorado",2545
0500000US08121,8121,"Washington County, Colorado",304
0500000US08123,8123,"Weld County, Colorado",14623
0500000US08125,8125,"Yuma County, Colorado",604
0500000US09001,9001,"Fairfield County, Connecticut",50889
0500000US09003,9003,"Hartford County, Connecticut",65012
0500000US09005,9005,"Litchfield County, Connecticut",14194
0500000US09007,9007,"Middlesex County, Connecticut",13797
0500000US09009,9009,"New Haven County, Connecticut",57080
0500000US09011,9011,"New London County, Connecticut",23853
0500000US09013,9013,"Tolland County, Connecticut",11520
0500000US09015,9015,"Windham County, Connecticut",8974
0500000US10001,10001,"Kent County, Delaware",15782
0500000US10003,10003,"New Castle County, Delaware",40672
0500000US10005,10005,"Sussex County, Delaware",24737
0500000US11001,11001,"District of Columbia, District of Columbia",39309
0500000US12001,12001,"Alachua County, Florida",15025
0500000US12003,12003,"Baker County, Florida",1819
0500000US12005,12005,"Bay County, Florida",15499
0500000US12007,12007,"Bradford County, Florida",2251
0500000US12009,12009,"Brevard County, Florida",57583
0500000US12011,12011,"Broward County, Florida",86486
0500000US12013,12013,"Calhoun County, Florida",1052
0500000US12015,12015,"Charlotte County, Florida",25559
0500000US12017,12017,"Citrus County, Florida",20714
0500000US12019,12019,"Clay County, Florida",17260
0500000US12021,12021,"Collier County, Florida",32318
0500000US12023,12023,"Columbia County, Florida",5707
0500000US12027,12027,"DeSoto County, Florida",2608
0500000US12029,12029,"Dixie County, Florida",1394
0500000US12031,12031,"Duval County, Florida",62920
0500000US12033,12033,"Escambia County, Florida",29664
0500000US12035,12035,"Flagler County, Florida",12012
0500000US12037,12037,"Franklin County, Florida",870
0500000US12039,12039,"Gadsden County, Florida",4029
0500000US12041,12041,"Gilchrist County, Florida",1420
0500000US12043,12043,"Glades County, Florida",1101
0500000US12045,12045,"Gulf County, Florida",1085
0500000US12047,12047,"Hamilton County, Florida",1055
0500000US12049,12049,"Hardee County, Florida",1347
0500000US12051,12051,"Hendry County, Florida",1738
0500000US12053,12053,"Hernando County, Florida",21720
0500000US12055,12055,"Highlands County, Florida",12295
0500000US12057,12057,"Hillsborough County, Florida",74027
0500000US12059,12059,"Holmes County, Florida",1283
0500000US12061,12061,"Indian River County, Florida",15457
0500000US12063,12063,"Jackson County, Florida",3405
0500000US12065,12065,"Jefferson County, Florida",1512
0500000US12067,12067,"Lafayette County, Florida",505
